"SITE","TRSCT","SECTION"
"Alderston Mains","N",1
"Alderston Mains","N",2
"Alderston Mains","N",3
"Alderston Mains","N",4
"Alderston Mains","N",5
"Alderston Mains","S",1
"Alderston Mains","S",2
"Alderston Mains","S",3
"Alderston Mains","S",4
"Alderston Mains","S",5
"Alderston Mains","W",1
"Alderston Mains","W",2
"Alderston Mains","W",3
"Alderston Mains","W",4
"Alderston Mains","W",5
"Annfield","NE",1
"Annfield","NE",2
"Annfield","NE",3
"Annfield","NE",4
"Annfield","NE",5
"Annfield","NW",1
"Annfield","NW",2
"Annfield","NW",3
"Annfield","NW",4
"Annfield","NW",5
"Annfield","SE",1
"Annfield","SE",2
"Annfield","SE",3
"Annfield","SE",4
"Annfield","SE",5
"Annfield","SW",1
"Annfield","SW",2
"Annfield","SW",3
"Annfield","SW",4
"Annfield","SW",5
"Arnbeg Kippen","N",1
"Arnbeg Kippen","N",2
"Arnbeg Kippen","N",3
"Arnbeg Kippen","N",4
"Arnbeg Kippen","N",5
"Arnbeg Kippen","NE",1
"Arnbeg Kippen","NE",2
"Arnbeg Kippen","NE",3
"Arnbeg Kippen","NE",4
"Arnbeg Kippen","NE",5
"Arnbeg Kippen","S",1
"Arnbeg Kippen","S",2
"Arnbeg Kippen","S",3
"Arnbeg Kippen","S",4
"Arnbeg Kippen","S",5
"Arnbeg Kippen","SW",1
"Arnbeg Kippen","SW",2
"Arnbeg Kippen","SW",3
"Arnbeg Kippen","SW",4
"Arnbeg Kippen","SW",5
"Arnbog Meigle","E",1
"Arnbog Meigle","E",2
"Arnbog Meigle","E",3
"Arnbog Meigle","E",4
"Arnbog Meigle","E",5
"Arnbog Meigle","N",1
"Arnbog Meigle","N",2
"Arnbog Meigle","N",3
"Arnbog Meigle","N",4
"Arnbog Meigle","N",5
"Arnbog Meigle","S",1
"Arnbog Meigle","S",2
"Arnbog Meigle","S",3
"Arnbog Meigle","S",4
"Arnbog Meigle","S",5
"Arnbog Meigle","W",1
"Arnbog Meigle","W",2
"Arnbog Meigle","W",3
"Arnbog Meigle","W",4
"Arnbog Meigle","W",5
"Auld Dalbrack","E",1
"Auld Dalbrack","E",2
"Auld Dalbrack","E",3
"Auld Dalbrack","E",4
"Auld Dalbrack","E",5
"Auld Dalbrack","N",1
"Auld Dalbrack","N",2
"Auld Dalbrack","N",3
"Auld Dalbrack","N",4
"Auld Dalbrack","N",5
"Auld Dalbrack","S",1
"Auld Dalbrack","S",2
"Auld Dalbrack","S",3
"Auld Dalbrack","S",4
"Auld Dalbrack","S",5
"Auld Dalbrack","W",1
"Auld Dalbrack","W",2
"Auld Dalbrack","W",3
"Auld Dalbrack","W",4
"Auld Dalbrack","W",5
"Baldinnies","N",1
"Baldinnies","N",2
"Baldinnies","N",3
"Baldinnies","N",4
"Baldinnies","N",5
"Baldinnies","S",1
"Baldinnies","S",2
"Baldinnies","S",3
"Baldinnies","S",4
"Baldinnies","S",5
"Baldinnies","W",1
"Baldinnies","W",2
"Baldinnies","W",3
"Baldinnies","W",4
"Baldinnies","W",5
"Barn Owl Lodge","N",1
"Barn Owl Lodge","N",2
"Barn Owl Lodge","N",3
"Barn Owl Lodge","N",4
"Barn Owl Lodge","N",5
"Barn Owl Lodge","NE",1
"Barn Owl Lodge","NE",2
"Barn Owl Lodge","NE",3
"Barn Owl Lodge","NE",4
"Barn Owl Lodge","NE",5
"Barn Owl Lodge","SE",1
"Barn Owl Lodge","SE",2
"Barn Owl Lodge","SE",3
"Barn Owl Lodge","SE",4
"Barn Owl Lodge","SE",5
"Barn Owl Lodge","SW",1
"Barn Owl Lodge","SW",2
"Barn Owl Lodge","SW",3
"Barn Owl Lodge","SW",4
"Barn Owl Lodge","SW",5
"Bogbank","E",1
"Bogbank","E",2
"Bogbank","E",3
"Bogbank","E",4
"Bogbank","E",5
"Bogbank","NW",1
"Bogbank","NW",2
"Bogbank","NW",3
"Bogbank","NW",4
"Bogbank","NW",5
"Bogbank","SE",1
"Bogbank","SE",2
"Bogbank","SE",3
"Bogbank","SE",4
"Bogbank","SE",5
"Bogbank","W",1
"Bogbank","W",2
"Bogbank","W",3
"Bogbank","W",4
"Bogbank","W",5
"Brockhouse","NE",1
"Brockhouse","NE",2
"Brockhouse","NE",3
"Brockhouse","NE",4
"Brockhouse","NE",5
"Brockhouse","NW",1
"Brockhouse","NW",2
"Brockhouse","NW",3
"Brockhouse","NW",4
"Brockhouse","NW",5
"Brockhouse","SE",1
"Brockhouse","SE",2
"Brockhouse","SE",3
"Brockhouse","SE",4
"Brockhouse","SE",5
"Brockhouse","SW",1
"Brockhouse","SW",2
"Brockhouse","SW",3
"Brockhouse","SW",4
"Brockhouse","SW",5
"Castlemains","E",1
"Castlemains","E",2
"Castlemains","E",3
"Castlemains","E",4
"Castlemains","E",5
"Castlemains","N",1
"Castlemains","N",2
"Castlemains","N",3
"Castlemains","N",4
"Castlemains","N",5
"Castlemains","S",1
"Castlemains","S",2
"Castlemains","S",3
"Castlemains","S",4
"Castlemains","S",5
"Castlemains","W",1
"Castlemains","W",2
"Castlemains","W",3
"Castlemains","W",4
"Castlemains","W",5
"Cockielaw","E",1
"Cockielaw","E",2
"Cockielaw","E",3
"Cockielaw","E",4
"Cockielaw","E",5
"Cockielaw","N",1
"Cockielaw","N",2
"Cockielaw","N",3
"Cockielaw","N",4
"Cockielaw","N",5
"Cockielaw","S",1
"Cockielaw","S",2
"Cockielaw","S",3
"Cockielaw","W",1
"Cockielaw","W",2
"Cockielaw","W",3
"Cockielaw","W",4
"Cockielaw","W",5
"Dolphingstone","E",1
"Dolphingstone","E",2
"Dolphingstone","E",3
"Dolphingstone","E",4
"Dolphingstone","E",5
"Dolphingstone","NW",1
"Dolphingstone","NW",2
"Dolphingstone","NW",3
"Dolphingstone","NW",4
"Dolphingstone","NW",5
"Dolphingstone","S",1
"Dolphingstone","S",2
"Dolphingstone","S",3
"Dolphingstone","S",4
"Dolphingstone","S",5
"East Fenton","E",1
"East Fenton","E",2
"East Fenton","E",3
"East Fenton","E",4
"East Fenton","E",5
"East Fenton","N",1
"East Fenton","N",2
"East Fenton","N",3
"East Fenton","N",4
"East Fenton","N",5
"East Fenton","S",1
"East Fenton","S",2
"East Fenton","S",3
"East Fenton","S",4
"East Fenton","S",5
"East Fenton","W",1
"East Fenton","W",2
"East Fenton","W",3
"East Fenton","W",4
"East Fenton","W",5
"East Fortune","N",1
"East Fortune","N",2
"East Fortune","N",3
"East Fortune","N",4
"East Fortune","N",5
"East Fortune","S",1
"East Fortune","S",2
"East Fortune","S",3
"East Fortune","S",4
"East Fortune","S",5
"East Fortune","W",1
"East Fortune","W",2
"East Fortune","W",3
"East Fortune","W",4
"East Fortune","W",5
"Ferrygate","N",1
"Ferrygate","N",2
"Ferrygate","N",3
"Ferrygate","N",4
"Ferrygate","N",5
"Ferrygate","S",1
"Ferrygate","S",2
"Ferrygate","S",3
"Ferrygate","S",4
"Ferrygate","S",5
"Ferrygate","W",1
"Ferrygate","W",2
"Ferrygate","W",3
"Ferrygate","W",4
"Ferrygate","W",5
"Hoprig","E",1
"Hoprig","E",2
"Hoprig","E",3
"Hoprig","E",4
"Hoprig","E",5
"Hoprig","N",1
"Hoprig","N",2
"Hoprig","N",3
"Hoprig","N",4
"Hoprig","N",5
"Hoprig","S",1
"Hoprig","S",2
"Hoprig","S",3
"Hoprig","S",4
"Hoprig","S",5
"Hoprig","W",1
"Hoprig","W",2
"Hoprig","W",3
"Hoprig","W",4
"Hoprig","W",5
"Huxton","NE",1
"Huxton","NE",2
"Huxton","NE",3
"Huxton","NE",4
"Huxton","NE",5
"Huxton","NW",1
"Huxton","NW",2
"Huxton","NW",3
"Huxton","NW",4
"Huxton","NW",5
"Huxton","SE",1
"Huxton","SE",2
"Huxton","SE",3
"Huxton","SE",4
"Huxton","SE",5
"Huxton","SW",1
"Huxton","SW",2
"Huxton","SW",3
"Huxton","SW",4
"Huxton","SW",5
"Islabank","NE",1
"Islabank","NE",2
"Islabank","NE",3
"Islabank","NE",4
"Islabank","NE",5
"Islabank","SE",1
"Islabank","SE",2
"Islabank","SE",3
"Islabank","SE",4
"Islabank","SE",5
"Islabank","SW",1
"Islabank","SW",2
"Islabank","SW",3
"Islabank","SW",4
"Islabank","SW",5
"Letham Far North T2","NE",1
"Letham Far North T2","NE",2
"Letham Far North T2","NE",3
"Letham Far North T2","NE",4
"Letham Far North T2","NE",5
"Letham Far North T2","NW",1
"Letham Far North T2","NW",2
"Letham Far North T2","NW",3
"Letham Far North T2","NW",4
"Letham Far North T2","NW",5
"Letham Far North T2","S",1
"Letham Far North T2","S",2
"Letham Far North T2","S",3
"Letham Far North T2","S",4
"Letham Far North T2","S",5
"Letham Far North T2","W",1
"Letham Far North T2","W",2
"Letham Far North T2","W",3
"Letham Far North T2","W",4
"Letham Far North T2","W",5
"Letham Near South T1","NE",1
"Letham Near South T1","NE",2
"Letham Near South T1","NE",3
"Letham Near South T1","NE",4
"Letham Near South T1","NE",5
"Letham Near South T1","NW",1
"Letham Near South T1","NW",2
"Letham Near South T1","NW",3
"Letham Near South T1","NW",4
"Letham Near South T1","NW",5
"Letham Near South T1","SE",1
"Letham Near South T1","SE",2
"Letham Near South T1","SE",3
"Letham Near South T1","SE",4
"Letham Near South T1","SE",5
"Letham Near South T1","SW",1
"Letham Near South T1","SW",2
"Letham Near South T1","SW",3
"Letham Near South T1","SW",4
"Letham Near South T1","SW",5
"Mid Cambushinnie","E",1
"Mid Cambushinnie","E",2
"Mid Cambushinnie","E",3
"Mid Cambushinnie","E",4
"Mid Cambushinnie","E",5
"Mid Cambushinnie","NW",1
"Mid Cambushinnie","NW",2
"Mid Cambushinnie","NW",3
"Mid Cambushinnie","NW",4
"Mid Cambushinnie","NW",5
"Mid Cambushinnie","S",1
"Mid Cambushinnie","S",2
"Mid Cambushinnie","S",3
"Mid Cambushinnie","S",4
"Mid Cambushinnie","S",5
"Mid Cambushinnie","SW",1
"Mid Cambushinnie","SW",2
"Mid Cambushinnie","SW",3
"Mid Cambushinnie","SW",4
"Mid Cambushinnie","SW",5
"Mosshouses","E",1
"Mosshouses","E",2
"Mosshouses","E",3
"Mosshouses","E",4
"Mosshouses","E",5
"Mosshouses","N",1
"Mosshouses","N",2
"Mosshouses","N",3
"Mosshouses","N",4
"Mosshouses","NE",1
"Mosshouses","NE",2
"Mosshouses","NE",3
"Mosshouses","NE",4
"Mosshouses","NE",5
"Mosshouses","SW",1
"Mosshouses","SW",2
"Mosshouses","SW",3
"Mosshouses","SW",4
"Mosshouses","SW",5
"Murrayshall","N",1
"Murrayshall","N",2
"Murrayshall","N",3
"Murrayshall","N",4
"Murrayshall","N",5
"Murrayshall","NW",1
"Murrayshall","NW",2
"Murrayshall","NW",3
"Murrayshall","NW",4
"Murrayshall","NW",5
"Murrayshall","SE",1
"Murrayshall","SE",2
"Murrayshall","SE",3
"Murrayshall","SE",4
"Murrayshall","SE",5
"Murrayshall","SW",1
"Murrayshall","SW",2
"Murrayshall","SW",3
"Murrayshall","SW",4
"Murrayshall","SW",5
"Nisbet Hill","N",1
"Nisbet Hill","N",2
"Nisbet Hill","N",3
"Nisbet Hill","N",4
"Nisbet Hill","N",5
"Nisbet Hill","S",1
"Nisbet Hill","S",2
"Nisbet Hill","S",3
"Nisbet Hill","S",4
"Nisbet Hill","S",5
"Nisbet Hill","W",1
"Nisbet Hill","W",2
"Nisbet Hill","W",3
"Nisbet Hill","W",4
"Nisbet Hill","W",5
"Park Cottage","E",1
"Park Cottage","E",2
"Park Cottage","E",3
"Park Cottage","E",4
"Park Cottage","E",5
"Park Cottage","N",1
"Park Cottage","N",2
"Park Cottage","N",3
"Park Cottage","N",4
"Park Cottage","S",1
"Park Cottage","S",2
"Park Cottage","S",3
"Park Cottage","S",4
"Park Cottage","S",5
"Park Cottage","W",1
"Park Cottage","W",2
"Park Cottage","W",3
"Park Cottage","W",4
"Park Cottage","W",5
"Redlands","N",1
"Redlands","N",2
"Redlands","N",3
"Redlands","N",4
"Redlands","N",5
"Redlands","S",1
"Redlands","S",2
"Redlands","S",3
"Redlands","W",1
"Redlands","W",2
"Redlands","W",3
"Redlands","W",4
"Redlands","W",5
"Sauchie Farm","E",1
"Sauchie Farm","E",2
"Sauchie Farm","E",3
"Sauchie Farm","E",4
"Sauchie Farm","E",5
"Sauchie Farm","N",1
"Sauchie Farm","N",2
"Sauchie Farm","N",3
"Sauchie Farm","N",4
"Sauchie Farm","N",5
"Sauchie Farm","S",1
"Sauchie Farm","S",2
"Sauchie Farm","S",3
"Sauchie Farm","S",4
"Sauchie Farm","S",5
"Sauchie Farm","W",1
"Sauchie Farm","W",2
"Sauchie Farm","W",3
"Sauchie Farm","W",4
"Sauchie Farm","W",5
"Stewart House","E",1
"Stewart House","E",2
"Stewart House","E",3
"Stewart House","E",4
"Stewart House","E",5
"Stewart House","N",1
"Stewart House","N",2
"Stewart House","N",3
"Stewart House","N",4
"Stewart House","N",5
"Stewart House","S",1
"Stewart House","S",2
"Stewart House","S",3
"Stewart House","S",4
"Stewart House","S",5
"Stewart House","W",1
"Stewart House","W",2
