"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","fSECTION","DAYNO","TTMIDN","NOTURB","PASSES","ALL_PIPS","ALL_OTHER","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2","AREA_ha","MID_X","MID_Y","sWINDS","min_air_temp"
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",1,2.4,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,1,0,0,0,0,0,0,0,"1",147,-57,3,1,1,0,0,0,0,0,0,0.0191887328511589,25.3918125416136,114.904049022028,27.8023230085269,415.549446929333,-1.15890493167112,0.675061651134381,-0.552471573479506,0.523500644616279,18253.42,1.825342,351823.769065434,683513.667804497,-0.266803679714404,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",1,2.4,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,1,0,0,0,0,0,0,0,"1",147,-57,3,1,1,0,0,0,0,0,0,0.0191887328511589,25.3918125416136,114.904049022028,27.8023230085269,415.549446929333,-1.15890493167112,0.675061651134381,-0.552471573479506,0.523500644616279,18253.42,1.825342,351823.769065434,683513.667804497,1.5599602534653,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",2,2.8,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,1,0,0,0,0,0,0,0,"2",147,-57,3,1,1,0,0.00888729924051466,0,0,0,0,0.0302237036100606,18.1011081996529,82.5939783865274,96.3520328332187,315.857285203598,-0.479024708857858,0.501344000405921,-0.931328568416814,0.210698157022962,19459.23,1.945923,351818.926212235,683621.212395954,1.94454213413471,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",2,2.8,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,1,0,0,0,0,0,0,0,"2",147,-57,3,1,1,0,0.00888729924051466,0,0,0,0,0.0302237036100606,18.1011081996529,82.5939783865274,96.3520328332187,315.857285203598,-0.479024708857858,0.501344000405921,-0.931328568416814,0.210698157022962,19459.23,1.945923,351818.926212235,683621.212395954,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",3,3.6,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,0,0,0,0,0,0,0,0,"3",147,-57,3,0,0,0,0,0,0,0,0,0.00994730781493879,24.8345414555117,224.790310712626,234.052601139915,313.531388601449,-1.49910078216874,0.800037989822471,-0.168279898073864,-0.202947499813096,11384.99,1.138499,351963.557390507,683701.386974741,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",3,3.6,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,0,0,0,0,0,0,0,0,"3",147,-57,3,0,0,0,0,0,0,0,0,0.00994730781493879,24.8345414555117,224.790310712626,234.052601139915,313.531388601449,-1.49910078216874,0.800037989822471,-0.168279898073864,-0.202947499813096,11384.99,1.138499,351963.557390507,683701.386974741,2.71370589547353,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",4,3.9,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,0,0,0,0,0,0,0,0,"4",147,-57,3,0,0,0,0,0,0,0,0,0.00997944852601205,24.9130076100003,307.592218522555,206.852937703584,330.560054436841,-1.72458834808097,0.719336081247428,0.136945817096814,0.0327350023219964,10597.78,1.059778,352060.523044464,683754.934332008,-0.459094620049109,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",4,3.9,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,0,0,0,0,0,0,0,0,"4",147,-57,3,0,0,0,0,0,0,0,0,0.00997944852601205,24.9130076100003,307.592218522555,206.852937703584,330.560054436841,-1.72458834808097,0.719336081247428,0.136945817096814,0.0327350023219964,10597.78,1.059778,352060.523044464,683754.934332008,3.00214230597559,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",5,1.5,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,0,0,0,0,0,0,0,0,"5",147,-57,3,0,0,0,0,0,0,0,0,0.00998702016472098,23.9400043786206,335.182642272181,125.921277420953,294.980690943193,-1.68850467274197,0.285051329887745,0.207527822546405,0.261028778743308,10331.41,1.033141,352151.865073088,683806.355733744,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","E",5,1.5,NA,2013-05-28 23:03:00,2013-05-28 23:19:00,0,0,0,0,0,0,0,0,0,0,"5",147,-57,3,0,0,0,0,0,0,0,0,0.00998702016472098,23.9400043786206,335.182642272181,125.921277420953,294.980690943193,-1.68850467274197,0.285051329887745,0.207527822546405,0.261028778743308,10331.41,1.033141,352151.865073088,683806.355733744,0.694651021959124,8.7
