"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","fSECTION","DAYNO","TTMIDN","NOTURB","PASSES","AREA_M2","AREA_ha"
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",1,0.2,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,0,0,0,0,0,0,0,"1",196,-78.0166666666667,1,0,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",2,0,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,0,0,0,0,0,0,0,"2",196,-78.0166666666667,1,0,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",3,2.3,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,1,0,0,0,0,0,0,"3",196,-78.0166666666667,1,1,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",4,0.1,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,1,0,0,0,0,0,0,"4",196,-78.0166666666667,1,1,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",5,1.5,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,0,0,0,0,0,0,0,"5",196,-78.0166666666667,1,0,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",5,0,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"5",196,-48,1,0,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",4,1.2,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"4",196,-48,1,0,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",3,2.5,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,1,0,0,0,0,0,0,"3",196,-48,1,1,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",2,2.4,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"2",196,-48,1,0,13555.66,1.355566
"Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",1,2.2,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"1",196,-48,1,0,13555.66,1.355566
