,Name,Type,ID,Divrat,Y,M,D,H,M.1,S,uS,Datum,Lat,Long,Zon,E.ing,N.ing,Alt,Tape,Date,Loc,Species,Spec,Note,Note1,COUNT,X,LAT,LON,BNG_y,BNG_x,SURVEYID
1,ROON1___20140722_225534,132,NA,8,2014,7,22,22,55,34,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06535,-3.37257,686684.2412,314639.3584,Annfield-1
2,ROON1___20140722_225704,132,NA,8,2014,7,22,22,57,4,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.0653,-3.37238,686678.4416,314651.0768,Annfield-1
3,ROON1___20140722_230511,132,NA,8,2014,7,22,23,5,11,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06329,-3.37303,686455.5539,314606.1601,Annfield-1
4,ROON1___20140722_230607,132,NA,8,2014,7,22,23,6,7,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06327,-3.37292,686453.1919,314612.9645,Annfield-1
5,ROON1___20140722_231000,132,NA,8,2014,7,22,23,10,0,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmPIP,NA,NA,NA,1,NA,56.06225,-3.37293,686339.6887,314610.0844,Annfield-1
6,ROON1___20140722_231142,132,NA,8,2014,7,22,23,11,42,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.0622,-3.37163,686332.5153,314690.9153,Annfield-1
7,ROON1___20140722_233203,132,NA,8,2014,7,22,23,32,3,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmPIP,NA,NA,NA,1,NA,56.06694,-3.37593,686865.3563,314433.6997,Annfield-1
8,ROON1___20140722_233340,132,NA,8,2014,7,22,23,33,40,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06729,-3.37587,686904.2332,314438.2114,Annfield-1
9,ROON1___20140723_001247,132,NA,8,2014,7,23,0,12,47,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06459,-3.37865,686607.2041,314259.1429,Annfield-1
10,ROON1___20140723_001631,132,NA,8,2014,7,23,0,16,31,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06373,-3.37933,686512.3407,314214.8945,Annfield-1
11,ROON1___20140723_001651,132,NA,8,2014,7,23,0,16,51,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06367,-3.37938,686505.7255,314211.6481,Annfield-1
12,ROON1___20140723_001712,132,NA,8,2014,7,23,0,17,12,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06345,-3.3795,686481.3911,314203.6876,Annfield-1
12.1,ROON1___20140723_001712,132,NA,8,2014,7,23,0,17,12,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06345,-3.3795,686481.3911,314203.6876,Annfield-1
12.2,ROON1___20140723_001712,132,NA,8,2014,7,23,0,17,12,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmPIP,NA,NA,NA,1,NA,56.06345,-3.3795,686481.3911,314203.6876,Annfield-1
13,ROON1___20140723_001719,132,NA,8,2014,7,23,0,17,19,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmPIP,NA,NA,NA,1,NA,56.06342,-3.37955,686478.1146,314200.5079,Annfield-1
14,ROON1___20140723_001732,132,NA,8,2014,7,23,0,17,32,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmPIP,NA,NA,NA,1,NA,56.06336,-3.3796,686471.4994,314197.2614,Annfield-1
15,ROON1___20140723_001737,132,NA,8,2014,7,23,0,17,37,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06335,-3.37962,686470.4114,314195.9939,Annfield-1
16,ROON1___20140723_001747,132,NA,8,2014,7,23,0,17,47,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06331,-3.3797,686466.0594,314190.9241,Annfield-1
17,ROON1___20140723_001906,132,NA,8,2014,7,23,0,19,6,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06295,-3.38003,686426.4058,314169.5771,Annfield-1
18,ROON2_N_20140826_235033,132,NA,8,2014,8,26,23,50,33,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmMYOTI,NA,NA,NA,1,NA,56.06251,-3.37302,686368.7355,314605.0562,Annfield-2
21,ROON2_N_20140827_000844,132,NA,8,2014,8,27,0,8,44,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,,NA,NA,NA,,NA,56.06634,-3.37453,686796.8461,314519.5273,Annfield-2
31,ROON2_N_20140827_001128,132,NA,8,2014,8,27,0,11,28,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,,NA,NA,NA,,NA,56.06673,-3.37548,686841.4271,314461.2488,Annfield-2
41,ROON2___20140826_235025,132,NA,8,2014,8,26,23,50,25,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmMYOTI,NA,NA,NA,1,NA,56.06249,-3.37303,686366.5221,314604.3893,Annfield-2
51,ROON2___20140826_235036,132,NA,8,2014,8,26,23,50,36,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmMYOTI,NA,NA,NA,1,NA,56.06255,-3.37302,686373.1871,314605.1448,Annfield-2
61,ROON2___20140826_235722,132,NA,8,2014,8,26,23,57,22,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06443,-3.37312,686582.5356,314603.0802,Annfield-2
71,ROON2___20140826_235755,132,NA,8,2014,8,26,23,57,55,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06446,-3.37313,686585.8867,314602.524,Annfield-2
7.1,ROON2___20140826_235755,132,NA,8,2014,8,26,23,57,55,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06446,-3.37313,686585.8867,314602.524,Annfield-2
81,ROON2___20140826_235906,132,NA,8,2014,8,26,23,59,6,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06478,-3.37258,686620.8184,314637.4746,Annfield-2
91,ROON2___20140826_235927,132,NA,8,2014,8,26,23,59,27,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06486,-3.37243,686629.536,314646.9904,Annfield-2
9.1,ROON2___20140826_235927,132,NA,8,2014,8,26,23,59,27,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmPIP,NA,NA,NA,1,NA,56.06486,-3.37243,686629.536,314646.9904,Annfield-2
101,ROON2___20140826_235940,132,NA,8,2014,8,26,23,59,40,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06488,-3.37233,686631.638,314653.2605,Annfield-2
10.1,ROON2___20140826_235940,132,NA,8,2014,8,26,23,59,40,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmPIP,NA,NA,NA,1,NA,56.06488,-3.37233,686631.638,314653.2605,Annfield-2
