"","Name","LAT","LON","BNG_y","BNG_x","SURVEYID"
"1","ROON1___20140722_225534",56.06535,-3.37257,686684.241233009,314639.358448693,"Annfield-1"
"2","ROON1___20140722_225704",56.0653,-3.37238,686678.44156358,314651.07678022,"Annfield-1"
"3","ROON1___20140722_230511",56.06329,-3.37303,686455.553876647,314606.160102106,"Annfield-1"
"4","ROON1___20140722_230607",56.06327,-3.37292,686453.191871223,314612.964543654,"Annfield-1"
"5","ROON1___20140722_231000",56.06225,-3.37293,686339.688738442,314610.084363191,"Annfield-1"
"6","ROON1___20140722_231142",56.0622,-3.37163,686332.515278565,314690.915263295,"Annfield-1"
"7","ROON1___20140722_233203",56.06694,-3.37593,686865.356261329,314433.69974817,"Annfield-1"
"8","ROON1___20140722_233340",56.06729,-3.37587,686904.233220368,314438.211407617,"Annfield-1"
"9","ROON1___20140723_001247",56.06459,-3.37865,686607.204065728,314259.142886962,"Annfield-1"
"10","ROON1___20140723_001631",56.06373,-3.37933,686512.340685828,314214.894540798,"Annfield-1"
"11","ROON1___20140723_001651",56.06367,-3.37938,686505.725509739,314211.648106875,"Annfield-1"
"12","ROON1___20140723_001712",56.06345,-3.3795,686481.391086053,314203.68760896,"Annfield-1"
"13","ROON1___20140723_001712",56.06345,-3.3795,686481.391086053,314203.68760896,"Annfield-1"
"14","ROON1___20140723_001712",56.06345,-3.3795,686481.391086053,314203.68760896,"Annfield-1"
"15","ROON1___20140723_001719",56.06342,-3.37955,686478.114606809,314200.507856351,"Annfield-1"
"16","ROON1___20140723_001732",56.06336,-3.3796,686471.499441464,314197.261376763,"Annfield-1"
"17","ROON1___20140723_001737",56.06335,-3.37962,686470.41143059,314195.993919715,"Annfield-1"
"18","ROON1___20140723_001747",56.06331,-3.3797,686466.059390787,314190.92408514,"Annfield-1"
"19","ROON1___20140723_001906",56.06295,-3.38003,686426.405816905,314169.577081851,"Annfield-1"
"20","ROON1___20140722_222756",56.06907,-3.37195,687097.472029694,314686.186251019,"Annfield-1"
"21","ROON1___20140722_223203",56.06937,-3.37135,687130.116796929,314724.200532899,"Annfield-1"
"22","ROON1___20140722_230110",56.06436,-3.37322,686574.869190838,314596.699282366,"Annfield-1"
"23","ROON1___20140722_230610",56.06327,-3.37288,686453.142342705,314615.454984095,"Annfield-1"
"24","ROON1___20140722_233348",56.0673,-3.37585,686905.321301602,314439.478678954,"Annfield-1"
"25","ROON1___20140722_233649",56.06826,-3.37493,687011.018325434,314498.880803905,"Annfield-1"
"26","ROON2_N_20140826_235033",56.06251,-3.37302,686368.735510592,314605.056218508,"Annfield-2"
"27","ROON2_N_20140827_000844",56.06634,-3.37453,686796.846055977,314519.527257042,"Annfield-2"
"28","ROON2_N_20140827_001128",56.06673,-3.37548,686841.427109487,314461.248848605,"Annfield-2"
"29","ROON2___20140826_235025",56.06249,-3.37303,686366.522099691,314604.389326986,"Annfield-2"
"30","ROON2___20140826_235036",56.06255,-3.37302,686373.1870992,314605.14475624,"Annfield-2"
"31","ROON2___20140826_235722",56.06443,-3.37312,686582.535629277,314603.080163241,"Annfield-2"
"32","ROON2___20140826_235755",56.06446,-3.37313,686585.886705615,314602.523981984,"Annfield-2"
"33","ROON2___20140826_235755",56.06446,-3.37313,686585.886705615,314602.523981984,"Annfield-2"
"34","ROON2___20140826_235906",56.06478,-3.37258,686620.81844505,314637.474575664,"Annfield-2"
"35","ROON2___20140826_235927",56.06486,-3.37243,686629.535951687,314646.990366957,"Annfield-2"
"36","ROON2___20140826_235927",56.06486,-3.37243,686629.535951687,314646.990366957,"Annfield-2"
"37","ROON2___20140826_235940",56.06488,-3.37233,686631.637975418,314653.260460098,"Annfield-2"
"38","ROON2___20140826_235940",56.06488,-3.37233,686631.637975418,314653.260460098,"Annfield-2"
"39","ROON2___20140827_000008",56.06488,-3.37235,686631.662729013,314652.015291677,"Annfield-2"
"40","ROON2___20140827_000017",56.06489,-3.37235,686632.775626686,314652.037415929,"Annfield-2"
"41","ROON2___20140827_000017",56.06489,-3.37235,686632.775626686,314652.037415929,"Annfield-2"
"42","ROON2___20140827_004853",56.06431,-3.37898,686576.453328604,314237.975006164,"Annfield-2"
"43","ROON2___20140827_005006",56.06381,-3.37943,686521.36826064,314208.846424972,"Annfield-2"
"44","ROON2___20140826_235323",56.06331,-3.37327,686458.076896267,314591.261745118,"Annfield-2"
"45","ROON2_N_0_20140826_235055",NA,NA,NA,NA,"Annfield-2"
"46","ROON2_N_0_20140826_235123",NA,NA,NA,NA,"Annfield-2"
"47","ROON2_N_0_20140826_235358",NA,NA,NA,NA,"Annfield-2"
"48","ROON2_N_0_20140826_235414",NA,NA,NA,NA,"Annfield-2"
"49","ROON2_N_0_20140826_235617",NA,NA,NA,NA,"Annfield-2"
"50","ROON2_N_0_20140826_235745",NA,NA,NA,NA,"Annfield-2"
"51","ROON2_N_0_20140827_000557",NA,NA,NA,NA,"Annfield-2"
"52","ROON2_N_0_20140827_000659",NA,NA,NA,NA,"Annfield-2"
"53","ROON2_N_0_20140827_000704",NA,NA,NA,NA,"Annfield-2"
"54","ROON2_N_0_20140827_000707",NA,NA,NA,NA,"Annfield-2"
"55","ROON2_N_0_20140827_000807",NA,NA,NA,NA,"Annfield-2"
"56","ROON2_N_0_20140827_000833",NA,NA,NA,NA,"Annfield-2"
"57","ROON2_N_0_20140827_000909",NA,NA,NA,NA,"Annfield-2"
"58","ROON2_N_0_20140827_000911",NA,NA,NA,NA,"Annfield-2"
"59","ROON2_N_0_20140827_000925",NA,NA,NA,NA,"Annfield-2"
"60","ROON2_N_0_20140827_000927",NA,NA,NA,NA,"Annfield-2"
"61","ROON2_N_0_20140827_001022",NA,NA,NA,NA,"Annfield-2"
"62","ROON2_N_0_20140827_001026",NA,NA,NA,NA,"Annfield-2"
"63","ROON2_N_0_20140827_001135",NA,NA,NA,NA,"Annfield-2"
"64","ROON2_N_0_20140827_001146",NA,NA,NA,NA,"Annfield-2"
"65","ROON2_N_0_20140827_001206",NA,NA,NA,NA,"Annfield-2"
"66","ROON2_N_0_20140827_001210",NA,NA,NA,NA,"Annfield-2"
"67","ROON2_N_0_20140827_001248",NA,NA,NA,NA,"Annfield-2"
"68","ROON2_N_0_20140827_001318",NA,NA,NA,NA,"Annfield-2"
"69","ROON2_N_0_20140827_001322",NA,NA,NA,NA,"Annfield-2"
"70","ROON2_N_0_20140827_001345",NA,NA,NA,NA,"Annfield-2"
"71","ROON2_N_0_20140827_001352",NA,NA,NA,NA,"Annfield-2"
"72","ROON2_N_0_20140827_001610",NA,NA,NA,NA,"Annfield-2"
"73","ROON2_N_0_20140827_001815",NA,NA,NA,NA,"Annfield-2"
"74","ROON2_N_0_20140827_002015",NA,NA,NA,NA,"Annfield-2"
"75","ROON2_N_0_20140827_002026",NA,NA,NA,NA,"Annfield-2"
"76","ROON2_N_0_20140827_003442",NA,NA,NA,NA,"Annfield-2"
"77","ROON2_N_0_20140827_003501",NA,NA,NA,NA,"Annfield-2"
"78","ROON2_N_0_20140827_003957",NA,NA,NA,NA,"Annfield-2"
"79","ROON2_N_0_20140827_004148",NA,NA,NA,NA,"Annfield-2"
"80","ROON2_N_0_20140827_004300",NA,NA,NA,NA,"Annfield-2"
"81","ROON2_N_0_20140827_004337",NA,NA,NA,NA,"Annfield-2"
"82","ROON2_N_0_20140827_004351",NA,NA,NA,NA,"Annfield-2"
"83","ROON2_N_0_20140827_004354",NA,NA,NA,NA,"Annfield-2"
"84","ROON2_N_0_20140827_004356",NA,NA,NA,NA,"Annfield-2"
"85","ROON2_N_0_20140827_004438",NA,NA,NA,NA,"Annfield-2"
"86","ROON2_N_0_20140827_004643",NA,NA,NA,NA,"Annfield-2"
"87","ROON2_N_0_20140827_004745",NA,NA,NA,NA,"Annfield-2"
"88","ROON2_N_0_20140827_004825",NA,NA,NA,NA,"Annfield-2"
"89","ROON2_N_0_20140827_005314",NA,NA,NA,NA,"Annfield-2"
"90","ROON2_N_20140804_215015",55.61906,-2.56643,636309.183260093,364423.77551829,"Barn Owl Lodge-1"
"91","ROON2_N_20140804_215023",55.61902,-2.56652,636304.777866,364418.070915669,"Barn Owl Lodge-1"
"92","ROON2_N_20140804_215029",55.61899,-2.5666,636301.480253558,364413.005196725,"Barn Owl Lodge-1"
"93","ROON2_N_20140804_215637",55.61796,-2.57,636188.603591827,364197.929035997,"Barn Owl Lodge-1"
"94","ROON2_N_20140804_221145",55.61835,-2.5617,636227.744540751,364721.034374773,"Barn Owl Lodge-1"
"95","ROON2_N_20140804_221856",55.61648,-2.56107,636019.308047317,364759.030164797,"Barn Owl Lodge-1"
"96","ROON2_N_20140804_223109",55.62043,-2.56227,636459.522086795,364687.010511771,"Barn Owl Lodge-1"
"97","ROON2_N_20140804_223138",55.62045,-2.56183,636461.523465515,364714.73905827,"Barn Owl Lodge-1"
"98","ROON2_N_20140804_223147",55.62043,-2.5618,636459.282333031,364716.610389922,"Barn Owl Lodge-1"
"99","ROON2_N_20140804_223211",55.62052,-2.5615,636469.145661446,364735.584982378,"Barn Owl Lodge-1"
"100","ROON2_N_20140804_223214",55.62053,-2.5615,636470.258579005,364735.593988246,"Barn Owl Lodge-1"
"101","ROON2_N_20140804_223223",55.62055,-2.5614,636472.433455844,364741.909827389,"Barn Owl Lodge-1"
"102","ROON2_N_20140804_223335",55.62066,-2.56097,636484.456532312,364769.089456849,"Barn Owl Lodge-1"
"103","ROON2_N_20140804_225844",55.62043,-2.56225,636459.511880425,364688.270081037,"Barn Owl Lodge-1"
"104","ROON2_N_20140804_225921",55.62061,-2.56238,636479.610743272,364680.245240395,"Barn Owl Lodge-1"
"105","ROON2_N_20140804_230516",55.62257,-2.5643,636698.72427509,364561.10112437,"Barn Owl Lodge-1"
"106","ROON2_N_20140804_230516",55.62257,-2.5643,636698.72427509,364561.10112437,"Barn Owl Lodge-1"
"107","ROON2_N_20140804_230934",55.6236,-2.56573,636814.088109662,364471.981461775,"Barn Owl Lodge-1"
"108","ROON2___20140804_215615",55.61799,-2.56978,636191.828544653,364211.812577477,"Barn Owl Lodge-1"
