"SITE","TRANSECT","SECTION","MID_X","MID_Y","AREA_M2","BUILD","CTREE","GREYS","LANDF","NTREE","RDTRK","ROADS","RGRAS","SCRUB","WATER","LLENG","D_LIN","D_BUI","D_WAT","D_TRE"
"Alderston Mains","N",1,349479.9556,675426.0785,13555.66,0,0,13555.66,0,0,0,0,0,0,0,294.32,23.02091061,126.9352947,386.5512671,128.6487116
"Alderston Mains","N",2,349437.2617,675528.3361,34420.29,169.92,0,31023.28,0,287.83,1122.01,1817.25,0,0,0,1261.35,20.00375395,89.76398607,369.1942078,77.20931317
"Alderston Mains","N",3,349463.704,675642.0721,16685.43,0,0,15853.34,0,0.83,272.66,558.6,0,0,0,260.2,51.27823196,130.8181342,361.0946992,96.13374331
"Alderston Mains","N",4,349526.5251,675781.4512,10884.82,0,0,10884.83,0,0,0,0,0,0,0,268.3,13.93875015,235.0446763,389.5014747,218.3851712
"Alderston Mains","N",5,349509.0572,675876.6921,8949.85,0,0,8549.1,0,0,400.74,0,0,0,0,345.79,12.85502491,224.8557024,495.1873152,208.7464107
"Alderston Mains","W",1,349479.944109749,675424.118213774,13278.23,0,0,13278.22,0,0,0,0,0,0,0,294.32,22.53783462,128.4473556,387.6317946,129.0515116
"Alderston Mains","W",2,349362.358270548,675417.57124727,10238.35,0,0,10238.35,0,0,0,0,0,0,0,128.27,29.29005928,169.5877827,416.7110118,121.8216301
"Alderston Mains","W",3,349261.703708671,675404.092777813,10067.54,0,0,10067.54,0,0,0,0,0,0,0,0,109.3635035,245.7577627,322.9452015,175.6150783
"Alderston Mains","W",4,349162.175553823,675390.058807143,10033.71,0,0,10033.7,0,0,0,0,0,0,0,26.03,58.08018192,290.0505801,230.9174866,167.2425042
"Alderston Mains","W",5,349062.160604778,675385.538735938,10245.99,0,0,10245.98,0,0,0,0,0,0,0,122.07,27.25268902,235.7272744,161.3792941,73.70199949
"Alderston Mains","S",1,349530.711760061,675413.415005316,13035.22,0,0,13035.22,0,0,0,0,0,0,0,305.54,22.27966815,119.7226092,349.1250238,123.3181628
"Alderston Mains","S",2,349632.357951176,675354.594839732,10502.72,74.67,0,10236.54,0,0,191.52,0,0,0,0,480.99,14.11118273,52.56050034,261.0540367,76.06591299
"Alderston Mains","S",3,349716.198660755,675299.954249411,12415.1,2529.56,0,9500.87,0,5.57,379.1,0,0,0,0,1053.38,10.2023191,13.64814281,155.3659216,71.04928213
"Alderston Mains","S",4,349758.384016099,675194.08138686,11246.45,304.16,0,8202.18,0,1902.04,780.73,0,0,0,57.33,726.01,9.447499388,35.9062401,50.50176568,14.73013311
"Alderston Mains","S",5,349797.716466923,675091.301678032,10627.62,0,0,10042.61,0,115.05,469.96,0,0,0,0,341.7,16.30081665,95.37096213,41.07892024,50.3005132
"Annfield","NE",1,314580.704284125,686785.897163321,13147.96,0,0,12754.18,0,0,156.69,237.11,0,0,0,201.75,24.040994869958,82.4851146612267,282.425074272053,80.283430250048
"Annfield","NE",2,314658.16456642,686871.873620771,12713.55,183.88,0,9947.01,0,0,715.4,535.07,0,1332.18,0,897.15,10.9685435978645,33.397600342959,227.443710985265,36.4317214894788
"Annfield","NE",3,314673.28269048,686982.203623178,11130.11,0,0,11130.11,0,0,0,0,0,0,0,108.95,25.2610831435229,132.009610222517,120.456724896788,107.495732754781
"Annfield","NE",4,314686.730771163,687088.56397386,11517.74,0,0,11517.74,0,0,0,0,0,0,0,218.36,19.1365617535406,247.33712111053,41.6993549373963,90.2814094499722
"Annfield","NE",5,314756.154803602,687151.760517072,8399.96,0,0,8057.56,2243.3,0,0,0,0,0,342.4,444.65,14.2608888520735,326.148183785959,24.9788507690624,60.1438474720517
"Annfield","NW",1,314543.688276891,686777.03119136,13426.13,0,0,13424.13,0,0,0,2,0,0,0,18.43,32.7851058801618,116.254018070117,280.707104795458,113.3031307754
"Annfield","NW",2,314456.822337755,686863.74234933,12724.86,0,0,10457.4,0,0,1157.43,1110.05,0,0,0,803.93,15.8079552173663,173.130276851166,199.656558254376,163.467302803097
"Annfield","NW",3,314475.658020132,686977.948548681,16798.01,0,0,14521.6,0,0,1335.65,940.78,0,0,0,694.86,16.4063170025487,189.810740240908,90.8427261167809,128.174794985924
"Annfield","NW",4,314555.137439958,687106.28981578,11824.3,0,0,10051.18,0,0,821.98,951.14,0,0,0,656.02,11.9306701047973,207.553878777596,32.7937722309372,102.164431186856
"Annfield","NW",5,314604.403392694,687205.9758053,10379.67,0,228.46,7714.81,0,0,760.89,563.42,0,1112.1,0,477.67,12.9594763493129,200.645740905574,56.8369480539791,30.3354628875112
"Annfield","SE",1,314585.906390187,686741.024530216,13540.38,0,0,13452.45,0,0,87.93,0,0,0,0,48.14,27.6329962467448,77.4248841551905,269.46610065583,69.9199493643982
"Annfield","SE",2,314633.121678114,686631.706028825,16252.52,2354.03,0,11824.41,0,1757.21,252.64,0,0,0,0,1659.92,5.9014573120439,14.8969350065378,173.856212989479,24.0203279010902
"Annfield","SE",3,314587.882003058,686512.638918408,11449.22,596.4,0,8255.14,0,2597.68,0,0,0,0,0,447.61,9.40899181216841,59.8724761289274,49.5747911704328,19.9427416958546
"Annfield","SE",4,314615.846068279,686415.282090825,12525.79,0,0,11560.04,0,965.74,0,0,0,0,0,146.42,29.8605878966048,150.27464240983,77.140526741124,53.040196629384
"Annfield","SE",5,314681.522161662,686341.400789426,13462.72,0,0,13462.72,0,0,0,0,0,0,0,0,69.0701692064339,239.516992721073,96.9800984550199,100.903798296443
"Annfield","SW",1,314543.570790148,686776.876201865,13426.05,0,0,13425.11,0,0,0,0.94,0,0,0,17.3,32.8953782920888,116.414645517328,280.768517664901,113.368826620981
"Annfield","SW",2,314431.285407843,686827.189661727,14602.86,0,0,11644.71,0,0,1447.43,1510.73,0,0,0,969.18,14.6139160470895,180.415719797747,228.863217318688,172.293045586625
"Annfield","SW",3,314338.270379695,686756.425230357,19429.09,0,0,16711.13,0,0,1191.69,1526.25,0,0,0,851.13,14.2589884874084,169.423244185847,217.951465041972,160.570999964439
"Annfield","SW",4,314257.425223293,686602.774896514,12121.18,0,0,10377.67,0,0,778.08,965.43,0,0,0,495.37,17.2956079775772,256.717217311572,105.510000744759,82.0638101692967
"Annfield","SW",5,314201.348127444,686499.953011272,11122.05,0,0,6640.95,0,0,680.17,966.69,0,2834.25,0,626.03,11.3440753393467,358.457742957061,33.7435950620481,20.0088825334086
"Arnbeg Kippen","N",1,262942.626892293,694708.215130221,13395.35,0,0,13174.93,0,0,76.42,0,122.59,21.41,0,234.77,24.69745264,161.7993812,37.63309322,225.2062585
"Arnbeg Kippen","N",2,262951.905251702,694826.927607856,10650.43,0.63,0,9662.46,0,0,331.46,0,194.38,461.5,0,279.56,17.8611392,57.60496877,42.74940261,264.4738664
"Arnbeg Kippen","N",3,262952.446384339,694928.586069236,12022.72,1320.24,0,10399.83,0,0,220.79,59.15,22.68,0,0,977.67,13.10308216,18.63817382,44.3388102,269.4392594
"Arnbeg Kippen","N",4,262907.65995392,695026.169505022,10252.84,390.94,0,9129.48,0,0,406.96,325.45,0,0,0,515.22,20.03238612,49.94784314,25.66224304,209.8510059
"Arnbeg Kippen","N",5,262904.069456372,695127.8172701,10277.28,0,0,8753.57,0,0,407.53,282.37,833.81,0,0,624.72,13.69661183,107.957526,27.38244807,217.873137
"Arnbeg Kippen","NE",1,262959.335859425,694702.321531379,13389.23,0,0,12978.65,0,0,410.58,0,0,0,0,471.96,22.74704921,167.5544697,32.80330237,240.8184314
"Arnbeg Kippen","NE",2,263042.210450528,694787.647737555,11385.41,0,0,10971.16,0,0,414.25,0,0,0,0,386.09,18.97088338,122.2475025,24.63983789,334.7801408
"Arnbeg Kippen","NE",3,263141.179692507,694827.861366531,11046.87,0,0,11046.88,0,0,0,0,0,0,0,264.64,25.1758806,185.15047,27.29752638,435.5650614
"Arnbeg Kippen","NE",4,263174.17899219,694936.831406873,14146.68,0,0,14146.69,0,0,0,0,0,0,0,240.39,22.33925945,197.5170643,64.07371871,431.1461705
"Arnbeg Kippen","NE",5,263162.95269774,695068.295556511,12230.89,0,0,12230.89,0,0,0,0,0,0,0,233.9,18.37505127,191.4636143,102.333747,368.4601675
