"","SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","fSECTION","ttMidn"
"1","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",1,0.2,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,0,0,0,0,0,0,0,"1",-78.0166666666667
"2","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",2,0,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,0,0,0,0,0,0,0,"2",-78.0166666666667
"3","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",3,2.3,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,1,0,0,0,0,0,0,"3",-78.0166666666667
"4","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",4,0.1,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,1,0,0,0,0,0,0,"4",-78.0166666666667
"5","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","N",5,1.5,NA,2013-07-16 22:41:59,2013-07-16 23:00:00,0,0,0,0,0,0,0,0,0,0,"5",-78.0166666666667
"6","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",5,0,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"5",-48
"7","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",4,1.2,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"4",-48
"8","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",3,2.5,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,1,0,0,0,0,0,0,"3",-48
"9","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",2,2.4,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"2",-48
"10","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","W",1,2.2,NA,2013-07-16 23:12:00,2013-07-16 23:23:59,0,0,0,0,0,0,0,0,0,0,"1",-48
"11","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","S",1,0.7,NA,2013-07-16 23:25:00,2013-07-16 23:39:00,0,0,0,0,0,0,0,0,0,0,"1",-35
"12","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","S",2,0.6,NA,2013-07-16 23:25:00,2013-07-16 23:39:00,0,0,0,0,0,0,0,0,0,0,"2",-35
"13","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","S",3,0,NA,2013-07-16 23:25:00,2013-07-16 23:39:00,0,0,0,0,0,0,0,0,0,0,"3",-35
"14","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","S",4,0,NA,2013-07-16 23:25:00,2013-07-16 23:39:00,0,0,0,1,0,0,0,0,0,0,"4",-35
"15","Alderston Mains","Alderston Mains-1","JM",2013-07-16,"20.4","1.9","WSW","S",5,0,NA,2013-07-16 23:25:00,2013-07-16 23:39:00,0,0,0,0,0,0,0,0,0,0,"5",-35
"16","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","N",1,5.9,NA,2013-08-31 22:49:00,2013-08-31 23:09:00,0,0,0,0,0,0,0,0,0,0,"1",-71
"17","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","N",2,2,NA,2013-08-31 22:49:00,2013-08-31 23:09:00,0,0,0,0,0,0,0,0,0,0,"2",-71
"18","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","N",3,5.2,NA,2013-08-31 22:49:00,2013-08-31 23:09:00,0,0,0,0,0,0,0,0,0,0,"3",-71
"19","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","N",4,6.4,NA,2013-08-31 22:49:00,2013-08-31 23:09:00,0,0,0,0,0,0,0,0,0,0,"4",-71
"20","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","W",5,2.7,NA,2013-08-31 23:22:00,2013-08-31 23:35:59,0,0,0,0,0,0,0,0,0,0,"5",-38
"21","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","W",4,4,NA,2013-08-31 23:22:00,2013-08-31 23:35:59,0,0,0,0,0,0,0,0,0,0,"4",-38
"22","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","W",3,7.5,NA,2013-08-31 23:22:00,2013-08-31 23:35:59,0,0,0,0,0,0,0,0,0,0,"3",-38
"23","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","W",2,4.9,NA,2013-08-31 23:22:00,2013-08-31 23:35:59,0,0,0,0,0,0,0,0,0,0,"2",-38
"24","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","W",1,3.4,NA,2013-08-31 23:22:00,2013-08-31 23:35:59,0,0,0,0,0,0,0,0,0,0,"1",-38
"25","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","S",1,4.8,NA,2013-08-31 23:37:00,2013-08-31 23:51:59,0,0,0,0,0,0,0,0,0,0,"1",-23
"26","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","S",2,2,NA,2013-08-31 23:37:00,2013-08-31 23:51:59,0,0,0,0,0,0,0,0,0,0,"2",-23
"27","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","S",3,2.9,NA,2013-08-31 23:37:00,2013-08-31 23:51:59,2,0,4,2,0,3,2,0,0,0,"3",-23
"28","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","S",4,0,NA,2013-08-31 23:37:00,2013-08-31 23:51:59,2,1,14,0,0,0,2,0,0,0,"4",-23
"29","Alderston Mains","Alderston Mains-2","JM",2013-08-31,"12","7.1","W","S",5,2.4,NA,2013-08-31 23:37:00,2013-08-31 23:51:59,0,0,0,0,0,0,0,0,0,0,"5",-23
"30","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","NE",5,1.4,NA,2013-07-17 01:17:00,2013-07-17 01:33:00,0,0,0,0,0,0,0,0,0,0,"5",77
"31","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","NE",4,1.2,NA,2013-07-17 01:17:00,2013-07-17 01:33:00,0,0,1,0,0,0,0,0,0,0,"4",77
"32","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","NE",3,0,NA,2013-07-17 01:17:00,2013-07-17 01:33:00,0,0,0,1,0,0,0,0,0,0,"3",77
"33","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","NE",2,0.9,NA,2013-07-17 01:17:00,2013-07-17 01:33:00,0,0,1,0,0,0,0,0,0,0,"2",77
"34","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","NE",1,1.9,NA,2013-07-17 01:17:00,2013-07-17 01:33:00,0,0,0,0,0,0,0,0,0,0,"1",77
"35","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","S",1,1.9,NA,2013-07-17 01:34:59,2013-07-17 01:49:00,0,0,0,0,0,0,0,0,0,0,"1",94.9833333333333
"36","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","S",2,4.2,NA,2013-07-17 01:34:59,2013-07-17 01:49:00,0,0,0,0,0,0,0,0,0,0,"2",94.9833333333333
"37","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","S",3,1.3,NA,2013-07-17 01:34:59,2013-07-17 01:49:00,0,0,0,0,0,0,0,0,0,0,"3",94.9833333333333
"38","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","S",4,4.2,NA,2013-07-17 01:34:59,2013-07-17 01:49:00,0,0,0,2,0,0,0,0,0,0,"4",94.9833333333333
"39","Arnbeg Kippen","Arnbeg Kippen-1","JM",2013-07-17,"19","1.3","WSW","S",5,2.1,NA,2013-07-17 01:34:59,2013-07-17 01:49:00,0,0,3,0,0,0,0,0,0,0,"5",94.9833333333333
