"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","test"
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,0,1.3,"Turbine(s) spinning",2014-07-22 22:14:57,2014-07-22 22:17:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,100,0,"Turbine(s) spinning",2014-07-22 22:17:35,2014-07-22 22:21:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,200,0.1,"Turbine(s) spinning",2014-07-22 22:21:01,2014-07-22 22:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,300,1.6,"Turbine(s) spinning",2014-07-22 22:23:00,2014-07-22 22:27:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01666666666667
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,400,1,"Turbine(s) spinning",2014-07-22 22:27:01,2014-07-22 22:33:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,500,0.9,"Turbine(s) spinning",2014-07-22 22:33:49,2014-07-22 22:40:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,0,2.8,"Turbine(s) spinning",2014-07-22 23:26:30,2014-07-22 23:29:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56666666666667
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,100,1.5,"Turbine(s) spinning",2014-07-22 23:29:04,2014-07-22 23:32:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,200,1.4,"Turbine(s) spinning",2014-07-22 23:32:40,2014-07-22 23:35:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,300,1.1,"Turbine(s) spinning",2014-07-22 23:35:34,2014-07-22 23:38:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,400,1,"Turbine(s) spinning",2014-07-22 23:38:30,2014-07-22 23:41:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,500,3.3,"Turbine(s) spinning",2014-07-22 23:41:50,2014-07-22 23:44:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,600,0,"Turbine(s) spinning",2014-07-22 23:44:43,2014-07-22 23:48:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,0,2.4,"Turbine(s) spinning",2014-07-22 22:52:45,2014-07-22 22:55:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,100,0.8,"Turbine(s) spinning",2014-07-22 22:55:39,2014-07-22 22:59:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,200,2.9,"Turbine(s) spinning",2014-07-22 22:59:03,2014-07-22 23:02:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,300,0,"Turbine(s) spinning",2014-07-22 23:02:23,2014-07-22 23:05:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,400,0.3,"Turbine(s) spinning",2014-07-22 23:05:26,2014-07-22 23:08:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,500,1.9,"Turbine(s) spinning",2014-07-22 23:08:25,2014-07-22 23:11:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28333333333333
