"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE"
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,0,1.3,"Turbine(s) spinning",2014-07-22 22:14:57,2014-07-22 22:17:35,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,100,0,"Turbine(s) spinning",2014-07-22 22:17:35,2014-07-22 22:21:01,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,200,0.1,"Turbine(s) spinning",2014-07-22 22:21:01,2014-07-22 22:23:00,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,300,1.6,"Turbine(s) spinning",2014-07-22 22:23:00,2014-07-22 22:27:01,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,400,1,"Turbine(s) spinning",2014-07-22 22:27:01,2014-07-22 22:33:49,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,500,0.9,"Turbine(s) spinning",2014-07-22 22:33:49,2014-07-22 22:40:37,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,0,2.8,"Turbine(s) spinning",2014-07-22 23:26:30,2014-07-22 23:29:04,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,100,1.5,"Turbine(s) spinning",2014-07-22 23:29:04,2014-07-22 23:32:40,0,0,0,0,0,1,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,200,1.4,"Turbine(s) spinning",2014-07-22 23:32:40,2014-07-22 23:35:34,0,0,0,1,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,300,1.1,"Turbine(s) spinning",2014-07-22 23:35:34,2014-07-22 23:38:30,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,400,1,"Turbine(s) spinning",2014-07-22 23:38:30,2014-07-22 23:41:50,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,500,3.3,"Turbine(s) spinning",2014-07-22 23:41:50,2014-07-22 23:44:43,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,600,0,"Turbine(s) spinning",2014-07-22 23:44:43,2014-07-22 23:48:19,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,0,2.4,"Turbine(s) spinning",2014-07-22 22:52:45,2014-07-22 22:55:39,0,0,0,1,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,100,0.8,"Turbine(s) spinning",2014-07-22 22:55:39,2014-07-22 22:59:03,0,0,0,1,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,200,2.9,"Turbine(s) spinning",2014-07-22 22:59:03,2014-07-22 23:02:23,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,300,0,"Turbine(s) spinning",2014-07-22 23:02:23,2014-07-22 23:05:26,0,0,0,1,0,0,0,0,0,0
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,400,0.3,"Turbine(s) spinning",2014-07-22 23:05:26,2014-07-22 23:08:25,0,0,0,1,0,0,0,0,0,0
